order_id,vendor_id,product_id,order_date,sla_days,actual_days,quantity,unit_cost,quality_status,delivery_date,total_cost
ORD-W03-0000,V011,SKU-0013,17/01/2025,3,7,278,186.89,Pass,24/01/2025,51955.42
ORD-W03-0001,V006,SKU-0014,14/01/2025,7,6,138,72.92,Pass,20/01/2025,10062.96
ORD-W03-0002,V008,SKU-0029,08/01/2025,5,7,63,56.95,Pass,15/01/2025,3587.85
ORD-W03-0003,V013,SKU-0046,02/01/2025,7,4,129,191.0,Pass,06/01/2025,24639.0
ORD-W03-0004,V007,SKU-0015,14/01/2025,5,6,225,162.73,Pass,20/01/2025,36614.25
ORD-W03-0005,V006,SKU-0006,07/01/2025,5,12,94,121.27,Pass,19/01/2025,11399.38
ORD-W03-0006,V017,SKU-0046,13/01/2025,10,4,30,179.19,Pass,17/01/2025,5375.7
ORD-W03-0007,V017,SKU-0031,05/01/2025,3,5,312,172.51,Pass,10/01/2025,53823.12
ORD-W03-0008,V015,SKU-0001,16/01/2025,5,4,254,82.03,Defect,20/01/2025,20835.62
ORD-W03-0009,V008,SKU-0023,02/01/2025,7,4,396,79.61,Pass,06/01/2025,31525.56
ORD-W03-0010,V019,SKU-0014,07/01/2025,5,13,264,73.45,Pass,20/01/2025,19390.8
ORD-W03-0011,V006,SKU-0045,20/01/2025,7,13,69,33.19,Pass,02/02/2025,2290.11
ORD-W03-0012,V009,SKU-0042,13/01/2025,10,11,170,17.04,Defect,24/01/2025,2896.8
ORD-W03-0013,V018,SKU-0025,19/01/2025,7,12,437,98.87,Defect,31/01/2025,43206.19
ORD-W03-0014,V011,SKU-0001,12/01/2025,3,9,158,59.72,Pass,21/01/2025,9435.76
ORD-W03-0015,V016,SKU-0038,16/01/2025,5,9,122,53.79,Defect,25/01/2025,6562.38
ORD-W03-0016,V015,SKU-0001,05/01/2025,5,13,277,15.29,Defect,18/01/2025,4235.33
ORD-W03-0017,V020,SKU-0008,21/01/2025,5,3,145,41.72,Pass,24/01/2025,6049.4
ORD-W03-0018,V004,SKU-0023,21/01/2025,5,13,26,137.38,Pass,03/02/2025,3571.88
ORD-W03-0019,V006,SKU-0041,02/01/2025,3,12,336,163.51,Pass,14/01/2025,54939.36
ORD-W03-0020,V014,SKU-0042,11/01/2025,3,6,224,51.56,Pass,17/01/2025,11549.44
ORD-W03-0021,V013,SKU-0049,19/01/2025,7,7,405,121.64,Pending,26/01/2025,49264.2
ORD-W03-0022,V011,SKU-0039,20/01/2025,5,13,434,176.46,Pass,02/02/2025,76583.64
ORD-W03-0023,V016,SKU-0013,08/01/2025,7,9,468,42.7,Pass,17/01/2025,19983.6
