order_id,vendor_id,product_id,order_date,sla_days,actual_days,quantity,unit_cost,quality_status,delivery_date,total_cost
ORD-W04-0000,V017,SKU-0039,24/01/2025,10,7,129,112.68,Pass,31/01/2025,14535.72
ORD-W04-0001,V019,SKU-0036,17/01/2025,5,9,321,96.56,Pass,26/01/2025,30995.76
ORD-W04-0002,V007,SKU-0007,21/01/2025,7,4,25,184.36,Pass,25/01/2025,4609.0
ORD-W04-0003,V012,SKU-0030,27/01/2025,5,13,326,170.52,Pass,09/02/2025,55589.52
ORD-W04-0004,V017,SKU-0006,17/01/2025,5,13,204,142.51,Pass,30/01/2025,29072.04
ORD-W04-0005,V018,SKU-0034,18/01/2025,5,10,51,130.16,Pass,28/01/2025,6638.16
ORD-W04-0006,V015,SKU-0043,21/01/2025,5,3,16,62.47,Pass,24/01/2025,999.52
ORD-W04-0007,V019,SKU-0023,06/01/2025,5,2,217,57.72,Pass,08/01/2025,12525.24
ORD-W04-0008,V019,SKU-0023,08/01/2025,7,10,249,123.49,Pass,18/01/2025,30749.01
ORD-W04-0009,V015,SKU-0022,16/01/2025,10,5,240,177.69,Pass,21/01/2025,42645.6
ORD-W04-0010,V007,SKU-0019,11/01/2025,5,5,414,144.42,Defect,16/01/2025,59789.88
ORD-W04-0011,V005,SKU-0030,11/01/2025,5,13,205,151.96,Pass,24/01/2025,31151.8
ORD-W04-0012,V009,SKU-0033,06/01/2025,5,4,185,173.86,Pass,10/01/2025,32164.1
ORD-W04-0013,V013,SKU-0047,27/01/2025,7,6,10,161.63,Pass,02/02/2025,1616.3
ORD-W04-0014,V002,SKU-0005,13/01/2025,7,3,144,185.02,Pass,16/01/2025,26642.88
ORD-W04-0015,V020,SKU-0004,06/01/2025,7,11,63,44.38,Defect,17/01/2025,2795.94
ORD-W04-0016,V005,SKU-0022,04/01/2025,3,6,370,98.22,Defect,10/01/2025,36341.4
ORD-W04-0017,V008,SKU-0014,02/01/2025,5,11,56,165.87,Pass,13/01/2025,9288.72
ORD-W04-0018,V009,SKU-0027,25/01/2025,5,9,65,38.95,Pass,03/02/2025,2531.75
ORD-W04-0019,V013,SKU-0033,11/01/2025,3,7,269,124.67,Pass,18/01/2025,33536.23
ORD-W04-0020,V002,SKU-0033,26/01/2025,5,13,122,77.18,Pass,08/02/2025,9415.96
ORD-W04-0021,V017,SKU-0043,24/01/2025,7,10,329,5.36,Pass,03/02/2025,1763.44
ORD-W04-0022,V016,SKU-0021,17/01/2025,5,7,490,66.97,Pass,24/01/2025,32815.3
ORD-W04-0023,V012,SKU-0050,01/01/2025,5,13,196,148.67,Pass,14/01/2025,29139.32
ORD-W04-0024,V009,SKU-0024,24/01/2025,5,6,211,149.94,Pass,30/01/2025,31637.34
ORD-W04-0025,V007,SKU-0032,07/01/2025,10,13,118,89.47,Defect,20/01/2025,10557.46
ORD-W04-0026,V012,SKU-0046,21/01/2025,5,3,207,70.77,Pass,24/01/2025,14649.39
ORD-W04-0027,V008,SKU-0047,09/01/2025,3,7,141,101.51,Pass,16/01/2025,14312.91
ORD-W04-0028,V019,SKU-0048,09/01/2025,5,6,353,68.38,Pass,15/01/2025,24138.14
ORD-W04-0029,V010,SKU-0020,24/01/2025,5,3,68,163.28,Pass,27/01/2025,11103.04
ORD-W04-0030,V013,SKU-0028,27/01/2025,7,4,409,82.95,Pass,31/01/2025,33926.55
ORD-W04-0031,V009,SKU-0001,19/01/2025,10,7,240,181.08,Pass,26/01/2025,43459.2
ORD-W04-0032,V015,SKU-0008,12/01/2025,3,5,352,117.03,Pass,17/01/2025,41194.56
ORD-W04-0033,V014,SKU-0028,13/01/2025,5,9,338,106.62,Pass,22/01/2025,36037.56
ORD-W04-0034,V013,SKU-0017,25/01/2025,7,2,163,87.69,Pass,27/01/2025,14293.47
ORD-W04-0035,V001,SKU-0025,08/01/2025,5,7,123,23.38,Pass,15/01/2025,2875.74
ORD-W04-0036,V006,SKU-0005,21/01/2025,3,5,158,76.0,Pass,26/01/2025,12008.0
ORD-W04-0037,V015,SKU-0038,13/01/2025,3,7,383,81.82,Pass,20/01/2025,31337.06
ORD-W04-0038,V011,SKU-0035,10/01/2025,5,3,103,28.6,Pass,13/01/2025,2945.8
ORD-W04-0039,V010,SKU-0011,12/01/2025,5,7,457,21.77,Defect,19/01/2025,9948.89
ORD-W04-0040,V009,SKU-0042,27/01/2025,5,7,209,51.66,Defect,03/02/2025,10796.94
ORD-W04-0041,V019,SKU-0023,18/01/2025,5,9,43,194.7,Pass,27/01/2025,8372.1
ORD-W04-0042,V002,SKU-0027,04/01/2025,10,4,366,29.55,Pass,08/01/2025,10815.3
ORD-W04-0043,V018,SKU-0015,07/01/2025,5,12,83,128.39,Pass,19/01/2025,10656.37
ORD-W04-0044,V010,SKU-0014,27/01/2025,5,13,194,121.29,Pass,09/02/2025,23530.26
ORD-W04-0045,V006,SKU-0017,11/01/2025,7,7,396,80.15,Pass,18/01/2025,31739.4
ORD-W04-0046,V003,SKU-0010,01/01/2025,5,7,428,81.66,Pass,08/01/2025,34950.48
ORD-W04-0047,V004,SKU-0009,05/01/2025,7,8,406,58.29,Pass,13/01/2025,23665.74
ORD-W04-0048,V013,SKU-0027,21/01/2025,10,6,318,71.31,Pass,27/01/2025,22676.58
ORD-W04-0049,V018,SKU-0005,11/01/2025,3,5,361,40.39,Pass,16/01/2025,14580.79
ORD-W04-0050,V020,SKU-0039,02/01/2025,7,9,268,43.87,Defect,11/01/2025,11757.16
ORD-W04-0051,V016,SKU-0007,08/01/2025,7,4,376,145.44,Pass,12/01/2025,54685.44
ORD-W04-0052,V009,SKU-0008,20/01/2025,10,4,369,152.82,Pending,24/01/2025,56390.58
ORD-W04-0053,V008,SKU-0040,06/01/2025,5,9,451,187.28,Pass,15/01/2025,84463.28
ORD-W04-0054,V011,SKU-0037,16/01/2025,10,11,354,172.18,Defect,27/01/2025,60951.72
ORD-W04-0055,V003,SKU-0014,28/01/2025,10,6,97,58.42,Pass,03/02/2025,5666.74
ORD-W04-0056,V005,SKU-0031,17/01/2025,7,3,121,27.27,Pass,20/01/2025,3299.67
ORD-W04-0057,V005,SKU-0019,12/01/2025,5,2,193,165.8,Pass,14/01/2025,31999.4
ORD-W04-0058,V009,SKU-0039,13/01/2025,5,6,11,134.5,Pass,19/01/2025,1479.5
ORD-W04-0059,V002,SKU-0032,05/01/2025,5,6,91,85.39,Pass,11/01/2025,7770.49
ORD-W04-0060,V017,SKU-0014,04/01/2025,3,9,384,163.29,Pass,13/01/2025,62703.36
ORD-W04-0061,V020,SKU-0034,11/01/2025,10,5,236,192.75,Pass,16/01/2025,45489.0
ORD-W04-0062,V010,SKU-0048,12/01/2025,7,2,303,163.8,Pass,14/01/2025,49631.4
ORD-W04-0063,V008,SKU-0046,22/01/2025,7,11,246,138.06,Pending,02/02/2025,33962.76
ORD-W04-0064,V003,SKU-0038,03/01/2025,7,13,137,21.58,Pass,16/01/2025,2956.46
ORD-W04-0065,V018,SKU-0050,03/01/2025,10,2,105,79.59,Pass,05/01/2025,8356.95
ORD-W04-0066,V011,SKU-0041,05/01/2025,10,3,84,78.93,Pass,08/01/2025,6630.12
ORD-W04-0067,V008,SKU-0026,23/01/2025,10,7,130,26.15,Pending,30/01/2025,3399.5
ORD-W04-0068,V007,SKU-0001,11/01/2025,7,13,224,127.06,Defect,24/01/2025,28461.44
ORD-W04-0069,V007,SKU-0028,10/01/2025,7,3,421,167.52,Pass,13/01/2025,70525.92
ORD-W04-0070,V003,SKU-0019,03/01/2025,10,5,23,90.5,Pass,08/01/2025,2081.5
ORD-W04-0071,V009,SKU-0005,14/01/2025,7,4,286,44.38,Pass,18/01/2025,12692.68
ORD-W04-0072,V013,SKU-0037,11/01/2025,7,6,132,123.72,Pass,17/01/2025,16331.04
ORD-W04-0073,V003,SKU-0034,28/01/2025,3,8,115,69.6,Pass,05/02/2025,8004.0
ORD-W04-0074,V011,SKU-0049,25/01/2025,3,6,419,15.46,Defect,31/01/2025,6477.74
ORD-W04-0075,V001,SKU-0019,04/01/2025,7,13,188,90.4,Defect,17/01/2025,16995.2
ORD-W04-0076,V015,SKU-0012,23/01/2025,7,4,370,89.44,Pass,27/01/2025,33092.8
ORD-W04-0077,V019,SKU-0047,09/01/2025,5,7,271,136.05,Pass,16/01/2025,36869.55
ORD-W04-0078,V012,SKU-0009,03/01/2025,5,2,30,99.23,Pass,05/01/2025,2976.9
ORD-W04-0079,V006,SKU-0030,05/01/2025,7,2,113,151.3,Pending,07/01/2025,17096.9
ORD-W04-0080,V001,SKU-0027,12/01/2025,5,5,363,197.81,Pass,17/01/2025,71805.03
ORD-W04-0081,V011,SKU-0044,18/01/2025,5,4,464,166.76,Pass,22/01/2025,77376.64
ORD-W04-0082,V013,SKU-0016,23/01/2025,7,2,135,129.26,Pass,25/01/2025,17450.1
ORD-W04-0083,V005,SKU-0050,15/01/2025,5,12,464,35.44,Pass,27/01/2025,16444.16
ORD-W04-0084,V019,SKU-0023,24/01/2025,5,7,24,5.37,Pass,31/01/2025,128.88
ORD-W04-0085,V008,SKU-0008,04/01/2025,3,7,497,31.95,Pass,11/01/2025,15879.15
ORD-W04-0086,V018,SKU-0007,14/01/2025,5,13,256,181.46,Pass,27/01/2025,46453.76
ORD-W04-0087,V015,SKU-0005,13/01/2025,10,3,479,82.94,Pass,16/01/2025,39728.26
ORD-W04-0088,V001,SKU-0022,21/01/2025,5,11,171,76.42,Pass,01/02/2025,13067.82
ORD-W04-0089,V013,SKU-0011,06/01/2025,3,9,331,177.3,Pass,15/01/2025,58686.3
ORD-W04-0090,V003,SKU-0050,20/01/2025,5,10,296,38.26,Pass,30/01/2025,11324.96
ORD-W04-0091,V020,SKU-0025,07/01/2025,7,9,441,124.98,Pass,16/01/2025,55116.18
ORD-W04-0092,V001,SKU-0027,28/01/2025,7,10,419,62.0,Pass,07/02/2025,25978.0
ORD-W04-0093,V013,SKU-0041,11/01/2025,3,4,27,195.12,Pass,15/01/2025,5268.24
ORD-W04-0094,V010,SKU-0038,26/01/2025,7,4,143,32.06,Pass,30/01/2025,4584.58
ORD-W04-0095,V019,SKU-0041,25/01/2025,10,7,34,72.32,Pass,01/02/2025,2458.88
ORD-W04-0096,V019,SKU-0025,15/01/2025,7,4,213,44.63,Pass,19/01/2025,9506.19
ORD-W04-0097,V019,SKU-0044,08/01/2025,7,12,462,86.68,Pass,20/01/2025,40046.16
ORD-W04-0098,V013,SKU-0010,08/01/2025,5,6,432,92.59,Pass,14/01/2025,39998.88
ORD-W04-0099,V001,SKU-0047,26/01/2025,7,3,461,190.19,Pass,29/01/2025,87677.59
ORD-W04-0100,V017,SKU-0017,08/01/2025,7,7,116,10.93,Pass,15/01/2025,1267.88
ORD-W04-0101,V007,SKU-0045,19/01/2025,5,7,422,28.56,Pass,26/01/2025,12052.32
ORD-W04-0102,V010,SKU-0037,27/01/2025,5,5,350,84.9,Pass,01/02/2025,29715.0
ORD-W04-0103,V016,SKU-0011,10/01/2025,5,12,58,70.76,Pass,22/01/2025,4104.08
ORD-W04-0104,V018,SKU-0039,12/01/2025,5,6,46,78.58,Pass,18/01/2025,3614.68
ORD-W04-0105,V004,SKU-0038,28/01/2025,5,10,252,106.03,Pass,07/02/2025,26719.56
ORD-W04-0106,V005,SKU-0050,04/01/2025,7,11,293,112.56,Pass,15/01/2025,32980.08
ORD-W04-0107,V015,SKU-0031,08/01/2025,7,4,441,134.12,Defect,12/01/2025,59146.92
ORD-W04-0108,V002,SKU-0047,10/01/2025,10,7,94,154.32,Pass,17/01/2025,14506.08
ORD-W04-0109,V013,SKU-0020,22/01/2025,10,13,318,171.63,Pass,04/02/2025,54578.34
ORD-W04-0110,V001,SKU-0001,08/01/2025,7,10,303,57.04,Pass,18/01/2025,17283.12
ORD-W04-0111,V007,SKU-0045,12/01/2025,7,10,15,164.82,Pass,22/01/2025,2472.3
ORD-W04-0112,V010,SKU-0002,15/01/2025,7,2,250,76.22,Pass,17/01/2025,19055.0
ORD-W04-0113,V016,SKU-0037,26/01/2025,7,6,350,157.84,Pending,01/02/2025,55244.0
ORD-W04-0114,V013,SKU-0028,01/01/2025,7,12,240,111.82,Pass,13/01/2025,26836.8
ORD-W04-0115,V008,SKU-0003,13/01/2025,10,6,207,82.22,Pending,19/01/2025,17019.54
ORD-W04-0116,V002,SKU-0043,06/01/2025,7,2,212,176.47,Pass,08/01/2025,37411.64
ORD-W04-0117,V018,SKU-0002,04/01/2025,7,8,148,151.9,Pass,12/01/2025,22481.2
ORD-W04-0118,V008,SKU-0042,28/01/2025,3,2,356,129.77,Pass,30/01/2025,46198.12
ORD-W04-0119,V013,SKU-0034,28/01/2025,5,4,364,23.08,Pass,01/02/2025,8401.12
ORD-W04-0120,V002,SKU-0023,16/01/2025,7,9,126,64.44,Pass,25/01/2025,8119.44
ORD-W04-0121,V003,SKU-0030,27/01/2025,10,12,117,54.71,Pass,08/02/2025,6401.07
ORD-W04-0122,V014,SKU-0048,26/01/2025,10,7,274,46.69,Pass,02/02/2025,12793.06
ORD-W04-0123,V019,SKU-0032,04/01/2025,7,12,315,179.86,Pass,16/01/2025,56655.9
ORD-W04-0124,V005,SKU-0006,15/01/2025,10,2,393,71.69,Pass,17/01/2025,28174.17
ORD-W04-0125,V002,SKU-0041,19/01/2025,10,7,418,181.55,Pass,26/01/2025,75887.9
ORD-W04-0126,V002,SKU-0002,03/01/2025,3,11,230,125.19,Pass,14/01/2025,28793.7
ORD-W04-0127,V005,SKU-0010,07/01/2025,5,8,278,183.84,Pass,15/01/2025,51107.52
ORD-W04-0128,V007,SKU-0042,27/01/2025,5,5,288,69.33,Pass,01/02/2025,19967.04
ORD-W04-0129,V003,SKU-0023,13/01/2025,3,8,62,171.6,Pass,21/01/2025,10639.2
ORD-W04-0130,V007,SKU-0048,28/01/2025,3,13,150,70.22,Pass,10/02/2025,10533.0
ORD-W04-0131,V019,SKU-0035,10/01/2025,7,8,468,158.5,Pass,18/01/2025,74178.0
ORD-W04-0132,V008,SKU-0021,03/01/2025,7,12,380,166.16,Pass,15/01/2025,63140.8
ORD-W04-0133,V018,SKU-0007,21/01/2025,7,13,281,113.61,Pass,03/02/2025,31924.41
ORD-W04-0134,V011,SKU-0003,08/01/2025,5,2,441,6.71,Pending,10/01/2025,2959.11
ORD-W04-0135,V008,SKU-0044,19/01/2025,5,13,81,103.32,Pass,01/02/2025,8368.92
ORD-W04-0136,V014,SKU-0025,03/01/2025,5,3,184,52.99,Pass,06/01/2025,9750.16
ORD-W04-0137,V020,SKU-0027,01/01/2025,3,9,440,16.35,Pass,10/01/2025,7194.0
ORD-W04-0138,V002,SKU-0002,17/01/2025,5,7,398,117.32,Defect,24/01/2025,46693.36
ORD-W04-0139,V016,SKU-0043,27/01/2025,5,4,109,19.34,Pass,31/01/2025,2108.06
ORD-W04-0140,V006,SKU-0037,01/01/2025,3,8,63,148.27,Pass,09/01/2025,9341.01
ORD-W04-0141,V010,SKU-0021,10/01/2025,5,9,168,43.16,Pass,19/01/2025,7250.88
ORD-W04-0142,V020,SKU-0017,28/01/2025,5,10,209,144.79,Pass,07/02/2025,30261.11
ORD-W04-0143,V001,SKU-0001,10/01/2025,10,11,89,181.42,Pass,21/01/2025,16146.38
ORD-W04-0144,V003,SKU-0001,14/01/2025,3,11,287,85.08,Pass,25/01/2025,24417.96
ORD-W04-0145,V002,SKU-0014,03/01/2025,3,4,77,75.5,Pass,07/01/2025,5813.5
ORD-W04-0146,V007,SKU-0005,23/01/2025,7,7,199,40.58,Pass,30/01/2025,8075.42
ORD-W04-0147,V013,SKU-0037,01/01/2025,7,6,172,133.58,Pass,07/01/2025,22975.76
ORD-W04-0148,V010,SKU-0002,13/01/2025,3,4,139,68.96,Pass,17/01/2025,9585.44
ORD-W04-0149,V007,SKU-0002,19/01/2025,10,9,338,123.99,Defect,28/01/2025,41908.62
ORD-W04-0150,V003,SKU-0003,16/01/2025,5,13,77,161.52,Pass,29/01/2025,12437.04
ORD-W04-0151,V011,SKU-0002,20/01/2025,7,2,464,88.24,Pass,22/01/2025,40943.36
ORD-W04-0152,V001,SKU-0031,04/01/2025,5,12,258,181.19,Pass,16/01/2025,46747.02
ORD-W04-0153,V001,SKU-0045,02/01/2025,5,8,198,11.8,Pass,10/01/2025,2336.4
ORD-W04-0154,V010,SKU-0006,09/01/2025,5,7,140,191.29,Pass,16/01/2025,26780.6
ORD-W04-0155,V013,SKU-0033,12/01/2025,3,2,343,12.04,Pass,14/01/2025,4129.72
ORD-W04-0156,V010,SKU-0019,18/01/2025,7,9,17,120.35,Pass,27/01/2025,2045.95
ORD-W04-0157,V014,SKU-0007,18/01/2025,5,8,426,90.66,Defect,26/01/2025,38621.16
ORD-W04-0158,V004,SKU-0028,23/01/2025,5,13,297,47.17,Pass,05/02/2025,14009.49
ORD-W04-0159,V012,SKU-0008,24/01/2025,5,5,157,60.25,Pass,29/01/2025,9459.25
ORD-W04-0160,V001,SKU-0037,24/01/2025,7,11,425,33.0,Pass,04/02/2025,14025.0
ORD-W04-0161,V020,SKU-0015,25/01/2025,5,5,257,103.02,Pass,30/01/2025,26476.14
ORD-W04-0162,V005,SKU-0007,23/01/2025,7,9,398,59.34,Pass,01/02/2025,23617.32
ORD-W04-0163,V019,SKU-0009,17/01/2025,5,4,237,149.12,Pass,21/01/2025,35341.44
ORD-W04-0164,V007,SKU-0005,07/01/2025,3,8,398,116.22,Pass,15/01/2025,46255.56
ORD-W04-0165,V008,SKU-0024,25/01/2025,5,6,369,10.15,Pass,31/01/2025,3745.35
ORD-W04-0166,V012,SKU-0002,16/01/2025,5,7,220,53.25,Pass,23/01/2025,11715.0
