order_id,vendor_id,product_id,order_date,sla_days,actual_days,quantity,unit_cost,quality_status,delivery_date,total_cost
ORD-W02-0000,V018,SKU-0042,11/01/2025,7,3,378,22.47,Pass,14/01/2025,8493.66
ORD-W02-0001,V018,SKU-0041,02/01/2025,7,11,62,65.95,Pass,13/01/2025,4088.9
ORD-W02-0002,V006,SKU-0010,05/01/2025,3,5,77,13.55,Pass,10/01/2025,1043.35
ORD-W02-0003,V007,SKU-0039,06/01/2025,5,6,239,151.14,Pass,12/01/2025,36122.46
ORD-W02-0004,V010,SKU-0022,12/01/2025,10,6,287,138.41,Pass,18/01/2025,39723.67
ORD-W02-0005,V003,SKU-0007,07/01/2025,10,6,108,172.12,Pass,13/01/2025,18588.96
ORD-W02-0006,V002,SKU-0050,05/01/2025,5,6,411,48.15,Pass,11/01/2025,19789.65
ORD-W02-0007,V012,SKU-0007,03/01/2025,5,6,282,31.11,Pass,09/01/2025,8773.02
ORD-W02-0008,V014,SKU-0002,14/01/2025,3,9,263,9.19,Pass,23/01/2025,2416.97
ORD-W02-0009,V015,SKU-0050,06/01/2025,5,4,31,136.19,Pass,10/01/2025,4221.89
ORD-W02-0010,V001,SKU-0021,01/01/2025,10,11,68,150.72,Pass,12/01/2025,10248.96
ORD-W02-0011,V004,SKU-0029,13/01/2025,7,10,261,72.66,Pass,23/01/2025,18964.26
ORD-W02-0012,V013,SKU-0001,12/01/2025,7,2,357,154.83,Pass,14/01/2025,55274.31
ORD-W02-0013,V018,SKU-0049,04/01/2025,5,9,472,93.63,Pass,13/01/2025,44193.36
ORD-W02-0014,V018,SKU-0041,08/01/2025,5,13,489,184.19,Pass,21/01/2025,90068.91
ORD-W02-0015,V005,SKU-0005,14/01/2025,3,7,186,157.08,Pass,21/01/2025,29216.88
ORD-W02-0016,V016,SKU-0007,14/01/2025,3,11,349,49.98,Pass,25/01/2025,17443.02
ORD-W02-0017,V019,SKU-0004,02/01/2025,5,12,275,63.36,Pass,14/01/2025,17424.0
ORD-W02-0018,V014,SKU-0002,12/01/2025,7,9,353,83.12,Pass,21/01/2025,29341.36
ORD-W02-0019,V020,SKU-0015,01/01/2025,10,7,171,145.22,Pass,08/01/2025,24832.62
ORD-W02-0020,V005,SKU-0019,04/01/2025,5,10,264,109.71,Pass,14/01/2025,28963.44
ORD-W02-0021,V018,SKU-0034,03/01/2025,7,10,56,90.22,Pass,13/01/2025,5052.32
ORD-W02-0022,V001,SKU-0023,10/01/2025,5,2,50,170.57,Pass,12/01/2025,8528.5
ORD-W02-0023,V003,SKU-0033,01/01/2025,7,6,117,96.76,Defect,07/01/2025,11320.92
ORD-W02-0024,V006,SKU-0032,04/01/2025,5,7,387,173.03,Pass,11/01/2025,66962.61
ORD-W02-0025,V003,SKU-0034,08/01/2025,3,3,275,169.56,Pending,11/01/2025,46629.0
ORD-W02-0026,V004,SKU-0024,09/01/2025,7,3,479,7.49,Pass,12/01/2025,3587.71
